Taxa,Nome popular,Nome inglês
TINAMIFORMES,,
Tinamidae,,
Crypturellus undulatus,jaó,Undulated Tinamou
Crypturellus parvirostris,inhambu-chororó,Small-billed Tinamou
ANSERIFORMES,,
Anhimidae,,
Chauna torquata,tachã,Southern Screamer
Anatidae,,
Dendrocygna autumnalis,marreca-cabocla,Black-bellied Whistling-Duck
Cairina moschata,pato-do-mato,Muscovy Duck
GALLIFORMES,,
Cracidae,,
Ortalis canicollis,aracuã-do-pantanal,Chaco Chachalaca
Pipile cujubi,cujubi,Red-throated Piping-Guan
Penelope ochrogaster,jacu-de-barriga-castanha,Chestnut-bellied Guan
Crax fasciolata,mutum-de-penacho,Bare-faced Curassow
COLUMBIFORMES,,
Columbidae,,
Patagioenas picazuro,pomba-asa-branca,Picazuro Pigeon
Patagioenas cayennensis,pomba-galega,Pale-vented Pigeon
Columbina squammata,fogo-apagou,Scaled Dove
Columbina talpacoti,rolinha-roxa,Ruddy Ground-Dove
Leptotila verreauxi,juriti-pupu,White-tipped Dove
Zenaida auriculata,avoante,Eared Dove
CUCULIFORMES,,
Cuculidae,,
Crotophaga major,anu-coroca,Greater Ani
Crotophaga ani,anu-preto,Smooth-billed Ani
Tapera naevia,saci,Striped Cuckoo
Piaya cayana,alma-de-gato,Squirrel Cuckoo
Coccyzus melacoryphus,papa-lagarta-acanelado,Dark-billed Cuckoo
CAPRIMULGIFORMES,,
Caprimulgidae,,
Nyctiprogne leucopyga,bacurau-de-cauda-barrada,Band-tailed Nighthawk
Podager nacunda,corucão,Nacunda Nighthawk
NYCTIBIIFORMES,,
Nyctibiidae,,
Nyctibius griseus,urutau,Common Potoo
APODIFORMES,,
Trochiliidae,,
Phaethornis pretrei,rabo-branco-acanelado,"
Cinnamon-throated Hermit"
Phaethornis nattereri,rabo-branco-de-sobre-amarelo,Planalto Hermit
Hylocharis chrysura,beija-flor-dourado,Gilded Hummingbird
Chionomesa fimbriata,beija-flor-de-garganta-verde,Glittering-throated Emerald
CICONIIFORMES,,
Ciconidae,,
Mycteria americana,cabeça-seca,Wood Stork
Jabiru mycteria,tuiuiú,Jabiru
SULIFORMES,,
Anhingidae,,
Anhinga anhinga,biguatinga,Anhinga
Phalacrocoracidae,,
Nannopterum brasilianus,biguá,Neotropic Cormorant
PELECANIFORMES,,
Ardeidae,,
Nycticorax nycticorax,socó-dorminhoco,Black-crowned Night Heron
Butorides striata,socozinho,Striated Heron
Ardea cocoi,garça-moura,Cocoi Heron
Ardea alba,garça-branca-grande,Great Egret
Egretta thula,garça-branca-pequena,Snowy Egret
Egretta caerulea,garça-azul,Little Blue Heron
Bubulcus ibis,garça-vaqueira,Cattle Egret
Syrigma sibilatrix,maria-faceira,Whistling Heron
Tigrisoma lineatum,socó-boi,Rufescent Tiger-Heron
Threskiornithidae,,
Phimosus infuscatus,tapicuru,Roseate Spoonbill
Theristicus caudatus,curicaca,Buff-necked Ibis
Theristicus caerulescens,curicaca-real,Plumbeous Ibis
"
Mesembrinibis cayennensis",coró-coró,Green Ibis
Platalea ajaja,colhereiro,Roseate Spoonbill
EURYPIGIFORMES,,
Eurypygidae,,
Eurypyga helias,pavãozinho-do-pará,Sunbittern
GRUIFORMES,,
Aramidae,,
Aramus guarauna,carão,Limpkin
Rallidae,,
Aramides cajaneus,saracura-três-potes,Gray-necked Wood-Rail
CHARADRIIFORMES,,
Rhynchopidae,,
"
Rynchops niger",talha-mar,Black Skimmer
Laridae,,
Phaetusa simplex,trinta-réis-grande,Large-billed Tern
Charadriidae,,
Vanellus chilensis,quero-quero,Southern Lapwing
Recurvirostridae,,
Himantopus melanurus,pernilongo-de-costas-brancas,White-necked Stilt
Jacanidae,,
Jacana jacana,jaçanã,Wattled Jacana
CATHARTIFORMES,,
Cathartidae,,
Cathartes aura,urubu-de-cabeça-vermelha,Turkey Vulture
Cathartes burrovianus,urubu-de-cabeça-amarela,Lesser Yellow-headed Vulture
Coragyps atratus,urubu-preto,Black Vulture
ACCIPITRIFORMES,,
Pandionidae,,
Pandion haliaetus,águia-pescadora,Osprey
Accipitridae,,
Rosthramus sociabilis,gavião-caramujeiro,Snail Kite
Leptodon cayanensis,gavião-gato,Gray-headed Kite
Rupornis magnirostris,gavião-carijó,Roadside Hawk
Urubitinga urubitinga,gavião-preto,Great Black Hawk
Busarellus nigricollis,gavião-belo,Black-collared Hawk
Heterospizias meridionalis,gavião-caboclo,Savanna Hawk
STRIGIFORMES,,
Tytonidae,,
